domain,page,page_title,visits TS1528824914.80682,pageviews TS1528824914.80682,users TS1528824914.80682,pageviews_per_session TS1528824914.80682,avg_session_duration TS1528824914.80682,exits TS1528824914.80682,active_visitors TS1528824914.80682,visits TS1528824916.972721,pageviews TS1528824916.972721,users TS1528824916.972721,pageviews_per_session TS1528824916.972721,avg_session_duration TS1528824916.972721,exits TS1528824916.972721,active_visitors TS1528824916.972721
aphis.usda.gov,aphis.usda.gov/aphis/pet-travel,USDA APHIS | APHIS Pet Travel,478057,1366543,260282,2.8585356976260154,222.98847836136696,473192,13.0,478057,1366543,260282,2.8585356976260154,222.98847836136696,473192,13
rd.usda.gov,rd.usda.gov/programs-services/single-family-housing-guaranteed-loan-program,Single Family Housing Guaranteed Loan Program | USDA Rural Development,467550,1274553,289287,2.726025024061597,233.11375895626136,469307,28.0,467550,1274553,289287,2.7260250240615975,233.11375895626136,469307,28
rd.usda.gov,rd.usda.gov/,USDA Rural Development,467550,1274553,289287,2.726025024061597,233.11375895626136,469307,22.0,467550,1274553,289287,2.7260250240615975,233.11375895626136,469307,22
rd.usda.gov,rd.usda.gov/publications/regulations-guidelines/handbooks,Handbooks | USDA Rural Development,467550,1274553,289287,2.726025024061597,233.11375895626136,469307,18.0,467550,1274553,289287,2.7260250240615975,233.11375895626136,469307,18
fsa.usda.gov,fsa.usda.gov/,USDA-Farm Service Agency Home Page,266646,652510,137531,2.447102150416657,208.73869474884305,268606,13.0,266646,652510,137531,2.4471021504166575,208.73869474884305,268606,13
ndb.nal.usda.gov,ndb.nal.usda.gov/ndb/search/list,Food Composition Databases Show Foods List,233868,1909120,149999,8.163237381770914,361.0438110387056,238566,12.0,233868,1909120,149999,8.163237381770914,361.0438110387056,238566,12
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,205215,441986,151034,2.1537704358843164,164.16455912092195,204290,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,187808,443022,142470,2.3589090986539443,159.8985240245357,185089,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,145282,263020,87384,1.810410098979915,103.37765173937584,136995,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,138844,268958,124176,1.93712367837285,143.6412592549912,132685,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,98871,203531,78246,2.058551041255778,134.08453439330037,98778,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,95671,509910,63762,5.32982826561863,198.10411723510782,95319,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,88808,246705,65131,2.7779591928655076,168.07437393027655,87902,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,82741,146558,73658,1.7712863030420227,110.90448507994827,82315,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,52756,172640,11765,3.272423989688377,164.05517855788915,52756,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,51572,149647,23104,2.9017102303575584,216.93226944853797,50869,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,49112,102089,46115,2.0786976706303957,89.19557338328718,48686,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,43192,120254,36607,2.784172994999074,162.47453232080014,44487,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,31298,44598,28302,1.4249472809764203,64.56495622723497,31095,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,27266,57121,23548,2.094953421844055,109.97454705494022,26896,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,26322,223305,13170,8.48358787326191,379.11617658232655,26304,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,24732,111616,14761,4.513019569788129,145.66897137311983,24602,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,23659,64909,4088,2.7435225495583078,193.76279639883342,23474,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,22179,65630,17665,2.9591054601199334,134.96906984084043,22345,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,21790,82500,7899,3.786140431390546,419.3370353373107,21642,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,17221,47447,14909,2.755182625863771,224.82747807908947,15908,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,14835,239361,4014,16.134883720930233,487.28311425682506,15205,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,14373,68534,5753,4.768246016837125,2121.498434564809,14410,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,14354,37014,12246,2.578654033718824,194.95102410477915,14354,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,13041,36422,7621,2.7928839812897785,220.27283183804923,13022,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,9896,12246,8546,1.2374696847210995,24.95594179466451,10026,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,7825,18091,6715,2.3119488817891374,94.52664536741214,7769,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,7621,10044,4476,1.3179372785723658,46.52001049731006,6493,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,7436,9545,4088,1.2836202259279181,35.03536847767617,6826,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,7122,18942,2664,2.6596461668070766,304.40325751193484,6511,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,5956,50055,2775,8.404130288784419,478.892881128274,5993,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,5864,10359,5512,1.7665416098226467,120.50068212824011,5919,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,5697,10747,3774,1.8864314551518342,102.70703879234685,5864,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,5013,13966,5068,2.7859565130660284,116.89447436664672,5087,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,4217,7270,2682,1.723974389376334,159.90040313018733,3589,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,4088,16611,3755,4.063356164383562,55.620107632093934,4125,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,3737,11654,3515,3.1185442868611184,101.02756221568103,3663,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,3589,7547,2571,2.102814154360546,133.52521593758706,3866,
