domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
origin-fs.fs.usda.gov,851,6104,425,7.172737955346651,913.9341950646299,962
secure.rd.usda.gov,814,8306,129,10.203931203931203,846.2174447174447,758
wmc.ar.nrcs.usda.gov,814,666,111,0.8181818181818182,243.15233415233416,499
ree.usda.gov,740,3700,795,5.0,208.27567567567567,777
openagricola.nal.usda.gov,703,1591,629,2.263157894736842,61.018492176386914,721
mymarketnews.ams.usda.gov,684,2423,462,3.5423976608187133,137.02923976608187,703
symbols.gov,684,6974,499,10.195906432748538,434.96783625730995,684
uslci.lcacommons.gov,666,8306,462,12.471471471471471,507.18918918918916,666
www-author.aphis.usda.gov,666,2719,92,4.0825825825825826,223.6951951951952,851
ltar.nal.usda.gov,629,1868,111,2.9697933227344993,212.38632750397457,666
nutritionhistory.nal.usda.gov,629,1258,555,2.0,53.111287758346585,555
usdawatercolors.nal.usda.gov,573,3182,573,5.553228621291448,145.94938917975568,629
cm1.fsa.usda.gov,555,5309,111,9.565765765765766,1627.9387387387387,444
blogs.nrcs.usda.gov,518,1276,832,2.4633204633204633,100.41698841698842,647
fsiwasxrvxa06.edc.ds1.usda.gov,407,1406,18,3.4545454545454546,706.2334152334153,407
iapreview.ars.usda.gov,407,1535,573,3.7714987714987713,181.25061425061426,518
prod.nrcs.usda.gov,407,2645,129,6.498771498771498,851.4447174447174,388
apps.fas.usda.gov,388,1147,555,2.9561855670103094,146.79123711340208,462
famtest.nwcg.gov,370,832,166,2.2486486486486488,340.3081081081081,370
staging-cms.fs.usda.gov,370,2405,222,6.5,217.42432432432432,370
patchy.nass.usda.gov,351,21938,111,62.5014245014245,981.1196581196581,333
origin2.www.fsa.usda.gov,296,555,203,1.875,193.79054054054055,222
itap.gov,259,277,259,1.0694980694980696,53.49420849420849,259
nareeeab.ree.usda.gov,259,499,222,1.9266409266409266,396.5250965250965,203
nalgc.nal.usda.gov,240,333,259,1.3875,154.84166666666667,203
pubs.nal.usda.gov,240,518,277,2.158333333333333,79.3875,222
usfsc.nal.usda.gov,185,222,148,1.2,44.5945945945946,185
wicworks.fns.usda.gov,185,592,185,3.2,298.56216216216217,148
origin-www.fsis.usda.gov,166,259,166,1.5602409638554218,138.06626506024097,185
egptest.nwcg.gov,148,407,92,2.75,105.86486486486487,129
geodata.nal.usda.gov,148,462,37,3.1216216216216215,409.2027027027027,185
nitcnrcsbase-www.nrcs.usda.gov,129,573,129,4.441860465116279,205.05426356589146,148
cms.fs.usda.gov,111,166,55,1.4954954954954955,51.32432432432432,111
devel.nrs.fs.fed.us,111,351,55,3.1621621621621623,382.45045045045043,55
ecm.nrcs.usda.gov,111,1184,74,10.666666666666666,793.4054054054054,166
newcore-drupal-dev.nal.usda.gov,111,111,18,1.0,393.45045045045043,74
origin.www.cnpp.usda.gov,111,203,92,1.8288288288288288,7.333333333333333,129
www2.nfc.usda.gov,111,407,166,3.6666666666666665,136.981981981982,129
apfo.usda.gov,92,277,74,3.010869565217391,505.4673913043478,111
arsredesign.arsnet.usda.gov,92,370,37,4.021739130434782,279.4782608695652,111
drupal.lcacommons.gov,92,92,92,1.0,0.0,92
ecm-webauth.nrcs.usda.gov,92,1165,92,12.66304347826087,93.08695652173913,74
fsrio.nal.usda.gov,92,259,166,2.8152173913043477,17.695652173913043,148
ltar-stage.nal.usda.gov,92,666,37,7.239130434782608,867.1847826086956,92
na.fs.fed.us,92,92,92,1.0,0.0,92
naldc.nal.usda.gov,92,166,92,1.8043478260869565,8.043478260869565,92
road.nwcg.gov,92,166,55,1.8043478260869565,273.8478260869565,92
local.snaped.usda.gov,74,185,18,2.5,371.4594594594595,74
ppdfs3.ess.usda.gov,74,92,74,1.2432432432432432,50.5,55
staging-www.fs.fed.us,74,499,18,6.743243243243243,434.94594594594594,92
vivo.usda.gov,74,111,92,1.5,3.0,92
betagcensus.nass.usda.gov,55,74,37,1.3454545454545455,2.690909090909091,55
dvlpapps.rma.usda.gov,55,425,37,7.7272727272727275,968.2727272727273,55
geoserver.nal.usda.gov,55,166,18,3.018181818181818,789.0181818181818,37
ltar-dev.nal.usda.gov,55,388,37,7.054545454545455,1349.3272727272727,55
naldc-legacy.nal.usda.gov,55,55,55,1.0,0.0,55
tstweb.nifa.usda.gov,55,1443,37,26.236363636363638,1578.0363636363636,166
dev.nfc.usda.gov,37,55,37,1.4864864864864864,0.0,37
ecm-test.nrcs.usda.gov,37,222,18,6.0,597.918918918919,37
fsxopsx1116.wrk.fs.usda.gov,37,92,37,2.4864864864864864,295.97297297297297,37
organicroots.nal.usda.gov,37,37,37,1.0,0.0,37
origin.www.fsa.usda.gov,37,92,37,2.4864864864864864,217.97297297297297,55
snaped.fns.usda.gov,37,37,37,1.0,0.0,37
aapmdrd0wps24.aphis.usda.gov,18,18,18,1.0,5.111111111111111,0
apps.fs.usda.gov,18,18,18,1.0,0.0,18
csrees.usda.gov,18,18,18,1.0,0.0,18
dev.intranet.fsis.usda.gov,18,18,18,1.0,0.0,18
dms.nwcg.gov,18,18,18,1.0,0.0,18
ecm-dev.nrcs.usda.gov,18,111,18,6.166666666666667,1608.2777777777778,18
geo-dev.nal.usda.gov,18,74,18,4.111111111111111,284.6666666666667,18
geoserver-stage.nal.usda.gov,18,129,18,7.166666666666667,211.72222222222223,0
gis-node1.nal.usda.gov,18,129,18,7.166666666666667,1474.6666666666667,0
gis-stage-node1.nal.usda.gov,18,55,18,3.0555555555555554,0.0,18
gis-stage.nal.usda.gov,18,37,18,2.0555555555555554,0.0,18
localhost.nwcg.gov,18,18,18,1.0,0.0,18
ltar-node1.nal.usda.gov,18,129,18,7.166666666666667,475.77777777777777,18
ltar-stage-node1.nal.usda.gov,18,388,18,21.555555555555557,11.277777777777779,18
nd201mon001.dfc.nwcg.gov,18,37,18,2.0555555555555554,18.5,18
origin.www.usda.gov,18,129,37,7.166666666666667,0.0,18
originwww.fs.fed.us,18,18,18,1.0,0.0,18
patrick.nass.usda.gov,18,18,18,1.0,0.0,18
reports.nwcg.gov,18,18,18,1.0,0.0,18
